file,kicad_netlist_file,group_netlist_file,csv_file,code_file,sym_count_in_root_sheet,annotated_symbols_in_root_sheet,comp_count,net_count,average_pins_per_group,groups,nets,nets_with_multiple_nodes,csv_lines,kicad-cli,kicad_group_netlister,code_gen,netlist_to_csv,test_case
./TFGPS01/hw/sch_pcb/TFGPS01.kicad_sch,./TFGPS01/hw/sch_pcb/TFGPS01.kicad_sch_kicad_netlist.xml,./TFGPS01/hw/sch_pcb/TFGPS01.kicad_sch_group_netlist.xml,./TFGPS01/hw/sch_pcb/TFGPS01.kicad_sch_spreadsheet.csv,./TFGPS01/hw/sch_pcb/TFGPS01.kicad_sch_code.h,126,21,75,67,4.8,5,19,4,25,0.17744558469858,0.00298858925234526,0.00292360075400211,0.0013294885517098,1
./echo-debug-gen3/Echo.kicad_sch,./echo-debug-gen3/Echo.kicad_sch_kicad_netlist.xml,./echo-debug-gen3/Echo.kicad_sch_group_netlist.xml,./echo-debug-gen3/Echo.kicad_sch_spreadsheet.csv,./echo-debug-gen3/Echo.kicad_sch_code.h,22,3,10,9,1,1,1,0,2,0.155469336296665,0.000748003396438435,0.00228108155424707,0.000558182795066387,1
./Driverino-Shield/PCB/Driverino-Shield.kicad_sch,./Driverino-Shield/PCB/Driverino-Shield.kicad_sch_kicad_netlist.xml,./Driverino-Shield/PCB/Driverino-Shield.kicad_sch_group_netlist.xml,./Driverino-Shield/PCB/Driverino-Shield.kicad_sch_spreadsheet.csv,./Driverino-Shield/PCB/Driverino-Shield.kicad_sch_code.h,89,15,56,65,13.4,5,44,14,68,0.173659383301856,0.00329512860043906,0.00547333199647255,0.00204594240058213,1
./usbarmory/hardware/mark-two-lan/power.kicad_sch,./usbarmory/hardware/mark-two-lan/power.kicad_sch_kicad_netlist.xml,./usbarmory/hardware/mark-two-lan/power.kicad_sch_group_netlist.xml,./usbarmory/hardware/mark-two-lan/power.kicad_sch_spreadsheet.csv,./usbarmory/hardware/mark-two-lan/power.kicad_sch_code.h,30,5,20,8,3,2,4,1,7,0.166428639949299,0.00252764499746263,0.00226905119488947,0.000662931200349704,1
./usbarmory/hardware/mark-two-lan/secure-element.kicad_sch,./usbarmory/hardware/mark-two-lan/secure-element.kicad_sch_kicad_netlist.xml,./usbarmory/hardware/mark-two-lan/secure-element.kicad_sch_group_netlist.xml,./usbarmory/hardware/mark-two-lan/secure-element.kicad_sch_spreadsheet.csv,./usbarmory/hardware/mark-two-lan/secure-element.kicad_sch_code.h,10,1,5,5,2,1,2,0,3,0.155865799449384,0.000765033654170111,0.00217009955085814,0.000530295452335849,1
./usbarmory/hardware/mark-two-lan/boot.kicad_sch,./usbarmory/hardware/mark-two-lan/boot.kicad_sch_kicad_netlist.xml,./usbarmory/hardware/mark-two-lan/boot.kicad_sch_group_netlist.xml,./usbarmory/hardware/mark-two-lan/boot.kicad_sch_spreadsheet.csv,./usbarmory/hardware/mark-two-lan/boot.kicad_sch_code.h,10,1,7,6,2,1,2,0,3,0.16081800275133,0.000944242195691913,0.00229285000241362,0.000547603802988306,1
./usbarmory/hardware/mark-two-lan/armory.kicad_sch,./usbarmory/hardware/mark-two-lan/armory.kicad_sch_kicad_netlist.xml,./usbarmory/hardware/mark-two-lan/armory.kicad_sch_group_netlist.xml,./usbarmory/hardware/mark-two-lan/armory.kicad_sch_spreadsheet.csv,./usbarmory/hardware/mark-two-lan/armory.kicad_sch_code.h,0,0,205,406,3.65217391304348,23,46,8,85,0.347419473651098,0.0107888714468572,0.00595606375136413,0.00276863055187278,1
./usbarmory/hardware/mark-two-lan/usb.kicad_sch,./usbarmory/hardware/mark-two-lan/usb.kicad_sch_kicad_netlist.xml,./usbarmory/hardware/mark-two-lan/usb.kicad_sch_group_netlist.xml,./usbarmory/hardware/mark-two-lan/usb.kicad_sch_spreadsheet.csv,./usbarmory/hardware/mark-two-lan/usb.kicad_sch_code.h,37,6,19,14,2,1,2,0,3,0.169441411248408,0.00145079930080101,0.00249420159962028,0.000549181347014382,1
./usbarmory/hardware/mark-two-lan/misc.kicad_sch,./usbarmory/hardware/mark-two-lan/misc.kicad_sch_kicad_netlist.xml,./usbarmory/hardware/mark-two-lan/misc.kicad_sch_group_netlist.xml,./usbarmory/hardware/mark-two-lan/misc.kicad_sch_spreadsheet.csv,./usbarmory/hardware/mark-two-lan/misc.kicad_sch_code.h,19,3,12,11,1.66666666666667,3,4,1,6,0.163247711048462,0.00132008100044914,0.00288179304916412,0.000584543950390071,1
./usbarmory/hardware/mark-two-lan/ethernet.kicad_sch,./usbarmory/hardware/mark-two-lan/ethernet.kicad_sch_kicad_netlist.xml,./usbarmory/hardware/mark-two-lan/ethernet.kicad_sch_group_netlist.xml,./usbarmory/hardware/mark-two-lan/ethernet.kicad_sch_spreadsheet.csv,./usbarmory/hardware/mark-two-lan/ethernet.kicad_sch_code.h,63,10,47,26,9.66666666666667,3,21,4,30,0.178640596795594,0.00271706929779612,0.00416728749987669,0.00114566050469875,1
